train_r2,test_r2,test_logloss,test_logloss_per_set,n_train_sets,n_test_sets,converged,pool,test_year,config,lambda
0.17401845484599154,0.1626878223526187,670.5643976722789,1.9493151095124388,3701,344,True,dev,2019,baseline9+Recency,0.0
0.16957854653865723,0.16036312912370465,672.4261364077641,1.9547271407202447,3701,344,True,dev,2019,baseline9+Rating,0.0
0.17847778134369552,0.15779537935433374,624.3392832561522,1.820231146519394,3273,343,True,dev,2019,baseline9+DistResidual,0.0
0.19157200986300593,0.17702992976950216,610.080414181373,1.7786600996541488,3273,343,True,dev,2019,full_model,0.0
0.1913587026917084,0.17499893017789747,611.5860255235951,1.7830496370950295,3273,343,True,dev,2019,full_minus_Trainer,0.0
0.18434293781482636,0.16732078026880282,617.2779565501696,1.7996441881929144,3273,343,True,dev,2019,full_minus_CareerStarts,0.0
0.18580943889797608,0.17313571558816554,612.9672552544578,1.7870765459313638,3273,343,True,dev,2019,full_minus_Recency,0.0
0.19084047834461937,0.17359757391445796,612.6248725491928,1.7860783456244689,3273,343,True,dev,2019,full_minus_Rating,0.0
0.18628071790904777,0.19020425977222433,648.4573006989829,1.8850502927296013,3701,344,True,dev,2019,full_minus_DistResidual,0.0
0.16843030009498217,0.18324345527896724,215.19563386900685,1.904386140433689,4045,113,True,dev,2020,baseline9,0.0
0.17047344819792354,0.1935383829351527,212.48316894059286,1.8803820260229456,4045,113,True,dev,2020,baseline9+Trainer,0.0
0.17887099065134804,0.21579602586710978,206.61881730468588,1.8284851088910254,4045,113,True,dev,2020,baseline9+CareerStarts,0.0
0.17309938540881864,0.20502999517851206,209.45540651019667,1.8535876682318289,4045,113,True,dev,2020,baseline9+Recency,0.0
0.16884499124517638,0.19222991167959513,212.8279195312787,1.8834329162060062,4045,113,True,dev,2020,baseline9+Rating,0.0
0.17657981946131063,0.18767587631716875,199.37342154977532,1.764366562387392,3616,113,True,dev,2020,baseline9+DistResidual,0.0
0.19028990452600392,0.24678057411706966,184.86701273280326,1.6359912631221527,3616,113,True,dev,2020,full_model,0.0
0.18987340270915765,0.24484855875840705,185.34119846890687,1.6401875970699722,3616,113,True,dev,2020,full_minus_Trainer,0.0
0.18284507271876638,0.2188100110633081,191.73199026593326,1.6967432766896748,3616,113,True,dev,2020,full_minus_CareerStarts,0.0
0.18469900027869612,0.22996226949136978,188.99482679142082,1.6725205910745204,3616,113,True,dev,2020,full_minus_Recency,0.0
0.1892967221043329,0.2316745052355228,188.57458284093477,1.6688016180613696,3616,113,True,dev,2020,full_minus_Rating,0.0
0.18668843675533575,0.2582014960847556,195.4459995268786,1.7296106152821116,4045,113,True,dev,2020,full_minus_DistResidual,0.0
0.16884721421513726,0.2151313751043401,397.4317105155919,1.8925319548361519,4158,210,True,validation,2021,baseline9,0.0
0.17112318555837946,0.21540394235273408,397.22542262391113,1.891549631542434,4158,210,True,validation,2021,baseline9+Trainer,0.0
0.17990181550272244,0.226524471229537,391.6626205845126,1.8650600980214884,4158,210,True,validation,2021,baseline9+CareerStarts,0.0
0.17398780895376942,0.2162499047589892,396.8653238111052,1.8898348752909773,4158,210,True,validation,2021,baseline9+Recency,0.0
0.1695234299553795,0.21432574668929183,397.8396543024583,1.8944745442974205,4158,210,True,validation,2021,baseline9+Rating,0.0
0.17692910217044422,0.19282489211441978,367.35984807881584,1.7746852564194002,3729,207,True,validation,2021,baseline9+DistResidual,0.0
0.19206043689541485,0.21134217730263838,358.70541722878954,1.7328764117332829,3729,207,True,validation,2021,full_model,0.0
0.19159841851655968,0.20938784013245393,359.82175379394494,1.738269341999734,3729,207,True,validation,2021,full_minus_Trainer,0.0
0.18397993848352578,0.1981189880816957,364.7197233956525,1.761931030896872,3729,207,True,validation,2021,full_minus_CareerStarts,0.0
0.18612768864327356,0.20553293090173086,361.3476380932138,1.7456407637353324,3729,207,True,validation,2021,full_minus_Recency,0.0
0.1906069138020039,0.21317150501544202,357.87338368828,1.7288569260303381,3729,207,True,validation,2021,full_minus_Rating,0.0
0.18869975830244634,0.2299157248404886,389.878394971223,1.8565637855772523,4158,210,True,validation,2021,full_minus_DistResidual,0.0
0.17120457476628925,0.09931113745215858,615.293732824266,2.107170317891322,4368,292,True,validation,2022,baseline9,0.0
0.17338416410745727,0.09815637835997537,616.0825912879227,2.109871887972338,4368,292,True,validation,2022,baseline9+Trainer,0.0
0.1822824294092309,0.10631511929597182,610.5090548821822,2.0907844345280213,4368,292,False,validation,2022,baseline9+CareerStarts,0.0
0.17614659036694358,0.09966035485852853,615.0551695528998,2.106353320386643,4368,292,True,validation,2022,baseline9+Recency,0.0
0.17181602265579765,0.10342782627695024,612.4814710774995,2.0975392845119845,4368,292,True,validation,2022,baseline9+Rating,0.0
0.17780126862593426,0.10401302574200255,571.0637570715412,1.9556977981902095,3936,292,True,validation,2022,baseline9+DistResidual,0.0
0.19315466075451115,0.11282576574226744,565.4468937027253,1.9364619647353607,3936,292,True,validation,2022,full_model,0.0
0.1926095843817982,0.11257969216286878,565.6037304724605,1.936999076960481,3936,292,True,validation,2022,full_minus_Trainer,0.0
0.18480072587002916,0.11102115688357106,566.5970741679549,1.9404009389313526,3936,292,True,validation,2022,full_minus_CareerStarts,0.0
0.18721881412666896,0.10904889753279401,567.854107882878,1.9447058489139657,3936,292,True,validation,2022,full_minus_Recency,0.0
0.19184782902690556,0.10680746425611332,569.282701539908,1.9495982929448903,3936,292,True,validation,2022,full_minus_Rating,0.0
0.1908254483225641,0.11407845081870249,605.2056372088905,2.0726220452359265,4368,292,True,validation,2022,full_minus_DistResidual,0.0
0.16667626006558534,0.05867535581535521,577.2198702567136,2.178188189647976,4660,265,True,validation,2023,baseline9,0.0
0.1686462445145296,0.0625268880862434,574.7687615803623,2.1689387229447634,4660,265,True,validation,2023,baseline9+Trainer,0.0
0.17750768135888806,0.07033914806037833,570.0676378276933,2.15119863331205,4660,265,True,validation,2023,baseline9+CareerStarts,0.0
0.1713313290162719,0.05821852373567016,577.4999994930977,2.179245281106029,4660,265,True,validation,2023,baseline9+Recency,0.0
0.167520898625377,0.0573374393451862,578.0402800654829,2.1812840757188035,4660,265,True,validation,2023,baseline9+Rating,0.0
0.17273799661568978,0.06221839919818528,537.5291127493903,2.0284117462241142,4228,265,True,validation,2023,baseline9+DistResidual,0.0
0.18766195901155225,0.07115499647287371,532.308861176321,2.00871268368423,4228,265,True,validation,2023,full_model,0.0
0.18714227618294788,0.06977148283652446,533.1997440102648,2.0120745056991125,4228,265,True,validation,2023,full_minus_Trainer,0.0
0.17974323278216742,0.05967283354749697,538.8891378074476,2.0335439162545192,4228,265,True,validation,2023,full_minus_CareerStarts,0.0
0.1818778623528372,0.07413637448470356,530.6002726301299,2.002265179736339,4228,265,True,validation,2023,full_minus_Recency,0.0
0.18602228139013877,0.07258028178269971,531.4920489016747,2.005630373213867,4228,265,True,validation,2023,full_minus_Rating,0.0
0.18601627935896714,0.072283135008955,568.7871649988967,2.1463666603731952,4660,265,True,validation,2023,full_minus_DistResidual,0.0
